Contig	Chromosome
NW_020848601.1	NW_020848601.1
NW_020848602.1	NW_020848602.1
NW_020848603.1	NW_020848603.1
NW_020848604.1	NW_020848604.1
NW_020848605.1	NW_020848605.1
NW_020848606.1	NW_020848606.1
NW_020848607.1	NW_020848607.1
NW_020848608.1	NW_020848608.1
NW_020848609.1	NW_020848609.1
NW_020848610.1	NW_020848610.1
NW_020848611.1	NW_020848611.1
NW_020848612.1	NW_020848612.1
NW_020848613.1	NW_020848613.1
NW_020848614.1	NW_020848614.1
NW_020848615.1	NW_020848615.1
NW_020848616.1	NW_020848616.1
NW_020848617.1	NW_020848617.1
NW_020848618.1	NW_020848618.1
NW_020848619.1	NW_020848619.1
NW_020848620.1	NW_020848620.1
NW_020848621.1	NW_020848621.1
NW_020848622.1	NW_020848622.1
NW_020848623.1	NW_020848623.1
NW_020848624.1	NW_020848624.1
NW_020848625.1	NW_020848625.1
NW_020848626.1	NW_020848626.1
NW_020848627.1	NW_020848627.1
NW_020848628.1	NW_020848628.1
NW_020848629.1	NW_020848629.1
NW_020848630.1	NW_020848630.1
NW_020848631.1	NW_020848631.1
NW_020848632.1	NW_020848632.1
NW_020848633.1	NW_020848633.1
NW_020848634.1	NW_020848634.1
NW_020848635.1	NW_020848635.1
NW_020848636.1	NW_020848636.1
NW_020848637.1	NW_020848637.1
NW_020848638.1	NW_020848638.1
NW_020848639.1	NW_020848639.1
NW_020848640.1	NW_020848640.1
NW_020848641.1	NW_020848641.1
NW_020848642.1	NW_020848642.1
NW_020848643.1	NW_020848643.1
NW_020848644.1	NW_020848644.1
NW_020848645.1	NW_020848645.1
NW_020848646.1	NW_020848646.1
NW_020848647.1	NW_020848647.1
NW_020848648.1	NW_020848648.1
NW_020848649.1	NW_020848649.1
NW_020848650.1	NW_020848650.1
NW_020848651.1	NW_020848651.1
NW_020848652.1	NW_020848652.1
NW_020848653.1	NW_020848653.1
NW_020848654.1	NW_020848654.1
NW_020848655.1	NW_020848655.1
NW_020848656.1	NW_020848656.1
NW_020848657.1	NW_020848657.1
NW_020848658.1	NW_020848658.1
NW_020848659.1	NW_020848659.1
NW_020848660.1	NW_020848660.1
NW_020848661.1	NW_020848661.1
NW_020848662.1	NW_020848662.1
NW_020848663.1	NW_020848663.1
NW_020848664.1	NW_020848664.1
NW_020848665.1	NW_020848665.1
NW_020848666.1	NW_020848666.1
NW_020848667.1	NW_020848667.1
NW_020848668.1	NW_020848668.1
NW_020848669.1	NW_020848669.1
NW_020848670.1	NW_020848670.1
NW_020848671.1	NW_020848671.1
NW_020848672.1	NW_020848672.1
NW_020848673.1	NW_020848673.1
NW_020848674.1	NW_020848674.1
NW_020848675.1	NW_020848675.1
NW_020848676.1	NW_020848676.1
NW_020848677.1	NW_020848677.1
NW_020848678.1	NW_020848678.1
NW_020848679.1	NW_020848679.1
NW_020848680.1	NW_020848680.1
NW_020848681.1	NW_020848681.1
NW_020848682.1	NW_020848682.1
NW_020848683.1	NW_020848683.1
NW_020848684.1	NW_020848684.1
NW_020848685.1	NW_020848685.1
NW_020848686.1	NW_020848686.1
NW_020848687.1	NW_020848687.1
NW_020848688.1	NW_020848688.1
NW_020848689.1	NW_020848689.1
NW_020848690.1	NW_020848690.1
NW_020848691.1	NW_020848691.1
NW_020848692.1	NW_020848692.1
NW_020848693.1	NW_020848693.1
NW_020848694.1	NW_020848694.1
NW_020848695.1	NW_020848695.1
NW_020848696.1	NW_020848696.1
NW_020848697.1	NW_020848697.1
NW_020848698.1	NW_020848698.1
NW_020848699.1	NW_020848699.1
NW_020848700.1	NW_020848700.1
NW_020848701.1	NW_020848701.1
NW_020848702.1	NW_020848702.1
NW_020848703.1	NW_020848703.1
NW_020848704.1	NW_020848704.1
NW_020848705.1	NW_020848705.1
NW_020848706.1	NW_020848706.1
NW_020848707.1	NW_020848707.1
NW_020848708.1	NW_020848708.1
NW_020848709.1	NW_020848709.1
NW_020848710.1	NW_020848710.1
NW_020848711.1	NW_020848711.1
NW_020848712.1	NW_020848712.1
NW_020848713.1	NW_020848713.1
NW_020848714.1	NW_020848714.1
NW_020848715.1	NW_020848715.1
NW_020848716.1	NW_020848716.1
NW_020848717.1	NW_020848717.1
NW_020848718.1	NW_020848718.1
NW_020848719.1	NW_020848719.1
NW_020848720.1	NW_020848720.1
NW_020848721.1	NW_020848721.1
NW_020848722.1	NW_020848722.1
NW_020848723.1	NW_020848723.1
NW_020848724.1	NW_020848724.1
NW_020848725.1	NW_020848725.1
NW_020848726.1	NW_020848726.1
NW_020848727.1	NW_020848727.1
NW_020848728.1	NW_020848728.1
NW_020848729.1	NW_020848729.1
NW_020848730.1	NW_020848730.1
NW_020848731.1	NW_020848731.1
NW_020848732.1	NW_020848732.1
NW_020848733.1	NW_020848733.1
NW_020848734.1	NW_020848734.1
NW_020848735.1	NW_020848735.1
NW_020848736.1	NW_020848736.1
NW_020848737.1	NW_020848737.1
NW_020848738.1	NW_020848738.1
NW_020848739.1	NW_020848739.1
NW_020848740.1	NW_020848740.1
NW_020848741.1	NW_020848741.1
NW_020848742.1	NW_020848742.1
NW_020848743.1	NW_020848743.1
NW_020848744.1	NW_020848744.1
NW_020848745.1	NW_020848745.1
NW_020848746.1	NW_020848746.1
NW_020848747.1	NW_020848747.1
NW_020848748.1	NW_020848748.1
NW_020848749.1	NW_020848749.1
NW_020848750.1	NW_020848750.1
NW_020848751.1	NW_020848751.1
NW_020848752.1	NW_020848752.1
NW_020848753.1	NW_020848753.1
NW_020848754.1	NW_020848754.1
NW_020848755.1	NW_020848755.1
NW_020848756.1	NW_020848756.1
NW_020848757.1	NW_020848757.1
NW_020848758.1	NW_020848758.1
NW_020848759.1	NW_020848759.1
NW_020848760.1	NW_020848760.1
NW_020848761.1	NW_020848761.1
NW_020848762.1	NW_020848762.1
NW_020848763.1	NW_020848763.1
NW_020848764.1	NW_020848764.1
NW_020848765.1	NW_020848765.1
NW_020848766.1	NW_020848766.1
NW_020848767.1	NW_020848767.1
NW_020848768.1	NW_020848768.1
NW_020848769.1	NW_020848769.1
NW_020848770.1	NW_020848770.1
NW_020848771.1	NW_020848771.1
NW_020848772.1	NW_020848772.1
NW_020848773.1	NW_020848773.1
NW_020848774.1	NW_020848774.1
NW_020848775.1	NW_020848775.1
NW_020848776.1	NW_020848776.1
NW_020848777.1	NW_020848777.1
NW_020848778.1	NW_020848778.1
NW_020848779.1	NW_020848779.1
NW_020848780.1	NW_020848780.1
NW_020848781.1	NW_020848781.1
NW_020848782.1	NW_020848782.1
NW_020848783.1	NW_020848783.1
NW_020848784.1	NW_020848784.1
NW_020848785.1	NW_020848785.1
NW_020848786.1	NW_020848786.1
NW_020848787.1	NW_020848787.1
NW_020848788.1	NW_020848788.1
NW_020848789.1	NW_020848789.1
NW_020848790.1	NW_020848790.1
NW_020848791.1	NW_020848791.1
NW_020848792.1	NW_020848792.1
NW_020848793.1	NW_020848793.1
NW_020848794.1	NW_020848794.1
NW_020848795.1	NW_020848795.1
NW_020848796.1	NW_020848796.1
NW_020848797.1	NW_020848797.1
NW_020848798.1	NW_020848798.1
NW_020848799.1	NW_020848799.1
NW_020848800.1	NW_020848800.1
