Contig	Chromosome
NW_020849199.1	NW_020849199.1
NW_020849200.1	NW_020849200.1
NW_020849201.1	NW_020849201.1
NW_020849202.1	NW_020849202.1
NW_020849203.1	NW_020849203.1
NW_020849204.1	NW_020849204.1
NW_020849205.1	NW_020849205.1
NW_020849206.1	NW_020849206.1
NW_020849207.1	NW_020849207.1
NW_020849208.1	NW_020849208.1
NW_020849209.1	NW_020849209.1
NW_020849210.1	NW_020849210.1
NW_020849211.1	NW_020849211.1
NW_020849212.1	NW_020849212.1
NW_020849213.1	NW_020849213.1
NW_020849214.1	NW_020849214.1
NW_020849215.1	NW_020849215.1
NW_020849216.1	NW_020849216.1
NW_020849217.1	NW_020849217.1
NW_020849218.1	NW_020849218.1
NW_020849219.1	NW_020849219.1
NW_020849220.1	NW_020849220.1
NW_020849221.1	NW_020849221.1
NW_020849222.1	NW_020849222.1
NW_020849223.1	NW_020849223.1
NW_020849224.1	NW_020849224.1
NW_020849225.1	NW_020849225.1
NW_020849226.1	NW_020849226.1
NW_020849227.1	NW_020849227.1
NW_020849228.1	NW_020849228.1
NW_020849229.1	NW_020849229.1
NW_020849230.1	NW_020849230.1
NW_020849231.1	NW_020849231.1
NW_020849232.1	NW_020849232.1
NW_020849233.1	NW_020849233.1
NW_020849234.1	NW_020849234.1
NW_020849235.1	NW_020849235.1
NW_020849236.1	NW_020849236.1
NW_020849237.1	NW_020849237.1
NW_020849238.1	NW_020849238.1
NW_020849239.1	NW_020849239.1
NW_020849240.1	NW_020849240.1
NW_020849241.1	NW_020849241.1
NW_020849242.1	NW_020849242.1
NW_020849243.1	NW_020849243.1
NW_020849244.1	NW_020849244.1
NW_020849245.1	NW_020849245.1
NW_020849246.1	NW_020849246.1
NW_020849247.1	NW_020849247.1
NW_020849248.1	NW_020849248.1
NW_020849249.1	NW_020849249.1
NW_020849250.1	NW_020849250.1
NW_020849251.1	NW_020849251.1
NW_020849252.1	NW_020849252.1
NW_020849253.1	NW_020849253.1
NW_020849254.1	NW_020849254.1
NW_020849255.1	NW_020849255.1
NW_020849256.1	NW_020849256.1
NW_020849257.1	NW_020849257.1
NW_020849258.1	NW_020849258.1
NW_020849259.1	NW_020849259.1
NW_020849260.1	NW_020849260.1
NW_020849261.1	NW_020849261.1
NW_020849262.1	NW_020849262.1
NW_020849263.1	NW_020849263.1
NW_020849264.1	NW_020849264.1
NW_020849265.1	NW_020849265.1
NW_020849266.1	NW_020849266.1
NW_020849267.1	NW_020849267.1
NW_020849268.1	NW_020849268.1
NW_020849269.1	NW_020849269.1
NW_020849270.1	NW_020849270.1
NW_020849271.1	NW_020849271.1
NW_020849272.1	NW_020849272.1
NW_020849273.1	NW_020849273.1
NW_020849274.1	NW_020849274.1
NW_020849275.1	NW_020849275.1
NW_020849276.1	NW_020849276.1
NW_020849277.1	NW_020849277.1
NW_020849278.1	NW_020849278.1
NW_020849279.1	NW_020849279.1
NW_020849280.1	NW_020849280.1
NW_020849281.1	NW_020849281.1
NW_020849282.1	NW_020849282.1
NW_020849283.1	NW_020849283.1
NW_020849284.1	NW_020849284.1
NW_020849285.1	NW_020849285.1
NW_020849286.1	NW_020849286.1
NW_020849287.1	NW_020849287.1
NW_020849288.1	NW_020849288.1
NW_020849289.1	NW_020849289.1
NW_020849290.1	NW_020849290.1
NW_020849291.1	NW_020849291.1
NW_020849292.1	NW_020849292.1
NW_020849293.1	NW_020849293.1
NW_020849294.1	NW_020849294.1
NW_020849295.1	NW_020849295.1
NW_020849296.1	NW_020849296.1
NW_020849297.1	NW_020849297.1
NW_020849298.1	NW_020849298.1
NW_020849299.1	NW_020849299.1
NW_020849300.1	NW_020849300.1
NW_020849301.1	NW_020849301.1
NW_020849302.1	NW_020849302.1
NW_020849303.1	NW_020849303.1
NW_020849304.1	NW_020849304.1
NW_020849305.1	NW_020849305.1
NW_020849306.1	NW_020849306.1
NW_020849307.1	NW_020849307.1
NW_020849308.1	NW_020849308.1
NW_020849309.1	NW_020849309.1
NW_020849310.1	NW_020849310.1
NW_020849311.1	NW_020849311.1
NW_020849312.1	NW_020849312.1
NW_020849313.1	NW_020849313.1
NW_020849314.1	NW_020849314.1
NW_020849315.1	NW_020849315.1
NW_020849316.1	NW_020849316.1
NW_020849317.1	NW_020849317.1
NW_020849318.1	NW_020849318.1
NW_020849319.1	NW_020849319.1
NW_020849320.1	NW_020849320.1
NW_020849321.1	NW_020849321.1
NW_020849322.1	NW_020849322.1
NW_020849323.1	NW_020849323.1
NW_020849324.1	NW_020849324.1
NW_020849325.1	NW_020849325.1
NW_020849326.1	NW_020849326.1
NW_020849327.1	NW_020849327.1
NW_020849328.1	NW_020849328.1
NW_020849329.1	NW_020849329.1
NW_020849330.1	NW_020849330.1
NW_020849331.1	NW_020849331.1
NW_020849332.1	NW_020849332.1
NW_020849333.1	NW_020849333.1
NW_020849334.1	NW_020849334.1
NW_020849335.1	NW_020849335.1
NW_020849336.1	NW_020849336.1
NW_020849337.1	NW_020849337.1
NW_020849338.1	NW_020849338.1
NW_020849339.1	NW_020849339.1
NW_020849340.1	NW_020849340.1
NW_020849341.1	NW_020849341.1
NW_020849342.1	NW_020849342.1
NW_020849343.1	NW_020849343.1
NW_020849344.1	NW_020849344.1
NW_020849345.1	NW_020849345.1
NW_020849346.1	NW_020849346.1
NW_020849347.1	NW_020849347.1
NW_020849348.1	NW_020849348.1
NW_020849349.1	NW_020849349.1
NW_020849350.1	NW_020849350.1
NW_020849351.1	NW_020849351.1
NW_020849352.1	NW_020849352.1
NW_020849353.1	NW_020849353.1
NW_020849354.1	NW_020849354.1
NW_020849355.1	NW_020849355.1
NW_020849356.1	NW_020849356.1
NW_020849357.1	NW_020849357.1
NW_020849358.1	NW_020849358.1
NW_020849359.1	NW_020849359.1
NW_020849360.1	NW_020849360.1
NW_020849361.1	NW_020849361.1
NW_020849362.1	NW_020849362.1
NW_020849363.1	NW_020849363.1
NW_020849364.1	NW_020849364.1
NW_020849365.1	NW_020849365.1
NW_020849366.1	NW_020849366.1
NW_020849367.1	NW_020849367.1
NW_020849368.1	NW_020849368.1
NW_020849369.1	NW_020849369.1
NW_020849370.1	NW_020849370.1
NW_020849371.1	NW_020849371.1
NW_020849372.1	NW_020849372.1
NW_020849373.1	NW_020849373.1
NW_020849374.1	NW_020849374.1
NW_020849375.1	NW_020849375.1
NW_020849376.1	NW_020849376.1
NW_020849377.1	NW_020849377.1
NW_020849378.1	NW_020849378.1
NW_020849379.1	NW_020849379.1
NW_020849380.1	NW_020849380.1
NW_020849381.1	NW_020849381.1
NW_020849382.1	NW_020849382.1
NW_020849383.1	NW_020849383.1
NW_020849384.1	NW_020849384.1
NW_020849385.1	NW_020849385.1
NW_020849386.1	NW_020849386.1
NW_020849387.1	NW_020849387.1
NW_020849388.1	NW_020849388.1
NW_020849389.1	NW_020849389.1
NW_020849390.1	NW_020849390.1
NW_020849391.1	NW_020849391.1
NW_020849392.1	NW_020849392.1
NW_020849393.1	NW_020849393.1
NW_020849394.1	NW_020849394.1
NW_020849395.1	NW_020849395.1
NW_020849396.1	NW_020849396.1
NW_020849397.1	NW_020849397.1
NW_020849398.1	NW_020849398.1
NW_020849399.1	NW_020849399.1
NW_020849400.1	NW_020849400.1
NW_020849401.1	NW_020849401.1
NW_020849402.1	NW_020849402.1
NW_020849403.1	NW_020849403.1
NW_020849404.1	NW_020849404.1
NW_020849405.1	NW_020849405.1
NW_020849406.1	NW_020849406.1
NW_020849407.1	NW_020849407.1
NW_020849408.1	NW_020849408.1
NW_020849409.1	NW_020849409.1
NW_020849410.1	NW_020849410.1
NW_020849411.1	NW_020849411.1
NW_020849412.1	NW_020849412.1
NW_020849413.1	NW_020849413.1
NW_020849414.1	NW_020849414.1
NW_020849415.1	NW_020849415.1
NW_020849416.1	NW_020849416.1
NW_020849417.1	NW_020849417.1
NW_020849418.1	NW_020849418.1
NW_020849419.1	NW_020849419.1
NW_020849420.1	NW_020849420.1
NW_020849421.1	NW_020849421.1
NW_020849422.1	NW_020849422.1
NW_020849423.1	NW_020849423.1
NW_020849424.1	NW_020849424.1
NW_020849425.1	NW_020849425.1
NW_020849426.1	NW_020849426.1
NW_020849427.1	NW_020849427.1
NW_020849428.1	NW_020849428.1
NW_020849429.1	NW_020849429.1
NW_020849430.1	NW_020849430.1
NW_020849431.1	NW_020849431.1
NW_020849432.1	NW_020849432.1
NW_020849433.1	NW_020849433.1
NW_020849434.1	NW_020849434.1
NW_020849435.1	NW_020849435.1
NW_020849436.1	NW_020849436.1
NW_020849437.1	NW_020849437.1
NW_020849438.1	NW_020849438.1
NW_020849439.1	NW_020849439.1
NW_020849440.1	NW_020849440.1
NW_020849441.1	NW_020849441.1
NW_020849442.1	NW_020849442.1
NW_020849443.1	NW_020849443.1
NW_020849444.1	NW_020849444.1
NW_020849445.1	NW_020849445.1
NW_020849446.1	NW_020849446.1
NW_020849447.1	NW_020849447.1
NW_020849448.1	NW_020849448.1
NW_020849449.1	NW_020849449.1
NW_020849450.1	NW_020849450.1
NW_020849451.1	NW_020849451.1
NW_020849452.1	NW_020849452.1
NW_020849453.1	NW_020849453.1
NW_020849454.1	NW_020849454.1
NW_020849455.1	NW_020849455.1
NW_020849456.1	NW_020849456.1
NW_020849457.1	NW_020849457.1
NW_020849458.1	NW_020849458.1
NW_020849459.1	NW_020849459.1
NW_020849460.1	NW_020849460.1
NW_020849461.1	NW_020849461.1
NW_020849462.1	NW_020849462.1
NW_020849463.1	NW_020849463.1
NW_020849464.1	NW_020849464.1
NW_020849465.1	NW_020849465.1
NW_020849466.1	NW_020849466.1
NW_020849467.1	NW_020849467.1
NW_020849468.1	NW_020849468.1
NW_020849469.1	NW_020849469.1
NW_020849470.1	NW_020849470.1
NW_020849471.1	NW_020849471.1
NW_020849472.1	NW_020849472.1
NW_020849473.1	NW_020849473.1
NW_020849474.1	NW_020849474.1
NW_020849475.1	NW_020849475.1
NW_020849476.1	NW_020849476.1
NW_020849477.1	NW_020849477.1
NW_020849478.1	NW_020849478.1
NW_020849479.1	NW_020849479.1
NW_020849480.1	NW_020849480.1
NW_020849481.1	NW_020849481.1
NW_020849482.1	NW_020849482.1
NW_020849483.1	NW_020849483.1
NW_020849484.1	NW_020849484.1
NW_020849485.1	NW_020849485.1
NW_020849486.1	NW_020849486.1
NW_020849487.1	NW_020849487.1
NW_020849488.1	NW_020849488.1
NW_020849489.1	NW_020849489.1
NW_020849490.1	NW_020849490.1
NW_020849491.1	NW_020849491.1
NW_020849492.1	NW_020849492.1
NW_020849493.1	NW_020849493.1
NW_020849494.1	NW_020849494.1
NW_020849495.1	NW_020849495.1
NW_020849496.1	NW_020849496.1
NW_020849497.1	NW_020849497.1
NW_020849498.1	NW_020849498.1
NW_020849499.1	NW_020849499.1
NW_020849500.1	NW_020849500.1
NW_020849501.1	NW_020849501.1
NW_020849502.1	NW_020849502.1
NW_020849503.1	NW_020849503.1
NW_020849504.1	NW_020849504.1
NW_020849505.1	NW_020849505.1
NW_020849506.1	NW_020849506.1
NW_020849507.1	NW_020849507.1
NW_020849508.1	NW_020849508.1
NW_020849509.1	NW_020849509.1
NW_020849510.1	NW_020849510.1
NW_020849511.1	NW_020849511.1
NW_020849512.1	NW_020849512.1
NW_020849513.1	NW_020849513.1
NW_020849514.1	NW_020849514.1
NW_020849515.1	NW_020849515.1
NW_020849516.1	NW_020849516.1
NW_020849517.1	NW_020849517.1
NW_020849518.1	NW_020849518.1
NW_020849519.1	NW_020849519.1
NW_020849520.1	NW_020849520.1
NW_020849521.1	NW_020849521.1
NW_020849522.1	NW_020849522.1
NW_020849523.1	NW_020849523.1
NW_020849524.1	NW_020849524.1
NW_020849525.1	NW_020849525.1
NW_020849526.1	NW_020849526.1
NW_020849527.1	NW_020849527.1
NW_020849528.1	NW_020849528.1
NW_020849529.1	NW_020849529.1
NW_020849530.1	NW_020849530.1
NW_020849531.1	NW_020849531.1
NW_020849532.1	NW_020849532.1
NW_020849533.1	NW_020849533.1
NW_020849534.1	NW_020849534.1
NW_020849535.1	NW_020849535.1
NW_020849536.1	NW_020849536.1
NW_020849537.1	NW_020849537.1
NW_020849538.1	NW_020849538.1
NW_020849539.1	NW_020849539.1
NW_020849540.1	NW_020849540.1
NW_020849541.1	NW_020849541.1
NW_020849542.1	NW_020849542.1
NW_020849543.1	NW_020849543.1
NW_020849544.1	NW_020849544.1
NW_020849545.1	NW_020849545.1
NW_020849546.1	NW_020849546.1
NW_020849547.1	NW_020849547.1
NW_020849548.1	NW_020849548.1
NW_020849549.1	NW_020849549.1
NW_020849550.1	NW_020849550.1
NW_020849551.1	NW_020849551.1
NW_020849552.1	NW_020849552.1
NW_020849553.1	NW_020849553.1
NW_020849554.1	NW_020849554.1
NW_020849555.1	NW_020849555.1
NW_020849556.1	NW_020849556.1
NW_020849557.1	NW_020849557.1
NW_020849558.1	NW_020849558.1
NW_020849559.1	NW_020849559.1
NW_020849560.1	NW_020849560.1
NW_020849561.1	NW_020849561.1
NW_020849562.1	NW_020849562.1
NW_020849563.1	NW_020849563.1
NW_020849564.1	NW_020849564.1
NW_020849565.1	NW_020849565.1
NW_020849566.1	NW_020849566.1
NW_020849567.1	NW_020849567.1
NW_020849568.1	NW_020849568.1
NW_020849569.1	NW_020849569.1
NW_020849570.1	NW_020849570.1
NW_020849571.1	NW_020849571.1
NW_020849572.1	NW_020849572.1
NW_020849573.1	NW_020849573.1
NW_020849574.1	NW_020849574.1
NW_020849575.1	NW_020849575.1
NW_020849576.1	NW_020849576.1
NW_020849577.1	NW_020849577.1
NW_020849578.1	NW_020849578.1
NW_020849579.1	NW_020849579.1
NW_020849580.1	NW_020849580.1
NW_020849581.1	NW_020849581.1
NW_020849582.1	NW_020849582.1
NW_020849583.1	NW_020849583.1
NW_020849584.1	NW_020849584.1
NW_020849585.1	NW_020849585.1
NW_020849586.1	NW_020849586.1
NW_020849587.1	NW_020849587.1
NW_020849588.1	NW_020849588.1
NW_020849589.1	NW_020849589.1
NW_020849590.1	NW_020849590.1
NW_020849591.1	NW_020849591.1
NW_020849592.1	NW_020849592.1
NW_020849593.1	NW_020849593.1
NW_020849594.1	NW_020849594.1
NW_020849595.1	NW_020849595.1
NW_020849596.1	NW_020849596.1
NW_020849597.1	NW_020849597.1
NW_020849598.1	NW_020849598.1
NW_020849599.1	NW_020849599.1
NW_020849600.1	NW_020849600.1
NW_020849601.1	NW_020849601.1
NW_020849602.1	NW_020849602.1
NW_020849603.1	NW_020849603.1
NW_020849604.1	NW_020849604.1
NW_020849605.1	NW_020849605.1
NW_020849606.1	NW_020849606.1
NW_020849607.1	NW_020849607.1
NW_020849608.1	NW_020849608.1
NW_020849609.1	NW_020849609.1
NW_020849610.1	NW_020849610.1
NW_020849611.1	NW_020849611.1
NW_020849612.1	NW_020849612.1
NW_020849613.1	NW_020849613.1
NW_020849614.1	NW_020849614.1
NW_020849615.1	NW_020849615.1
NW_020849616.1	NW_020849616.1
NW_020849617.1	NW_020849617.1
NW_020849618.1	NW_020849618.1
NW_020849619.1	NW_020849619.1
NW_020849620.1	NW_020849620.1
NW_020849621.1	NW_020849621.1
NW_020849622.1	NW_020849622.1
NW_020849623.1	NW_020849623.1
NW_020849624.1	NW_020849624.1
NW_020849625.1	NW_020849625.1
NW_020849626.1	NW_020849626.1
NW_020849627.1	NW_020849627.1
NW_020849628.1	NW_020849628.1
NW_020849629.1	NW_020849629.1
NW_020849630.1	NW_020849630.1
NW_020849631.1	NW_020849631.1
NW_020849632.1	NW_020849632.1
NW_020849633.1	NW_020849633.1
NW_020849634.1	NW_020849634.1
NW_020849635.1	NW_020849635.1
NW_020849636.1	NW_020849636.1
NW_020849637.1	NW_020849637.1
NW_020849638.1	NW_020849638.1
NW_020849639.1	NW_020849639.1
NW_020849640.1	NW_020849640.1
NW_020849641.1	NW_020849641.1
NW_020849642.1	NW_020849642.1
NW_020849643.1	NW_020849643.1
NW_020849644.1	NW_020849644.1
NW_020849645.1	NW_020849645.1
NW_020849646.1	NW_020849646.1
NW_020849647.1	NW_020849647.1
NW_020849648.1	NW_020849648.1
NW_020849649.1	NW_020849649.1
NW_020849650.1	NW_020849650.1
NW_020849651.1	NW_020849651.1
NW_020849652.1	NW_020849652.1
NW_020849653.1	NW_020849653.1
NW_020849654.1	NW_020849654.1
NW_020849655.1	NW_020849655.1
NW_020849656.1	NW_020849656.1
NW_020849657.1	NW_020849657.1
NW_020849658.1	NW_020849658.1
NW_020849659.1	NW_020849659.1
NW_020849660.1	NW_020849660.1
NW_020849661.1	NW_020849661.1
NW_020849662.1	NW_020849662.1
NW_020849663.1	NW_020849663.1
NW_020849664.1	NW_020849664.1
NW_020849665.1	NW_020849665.1
NW_020849666.1	NW_020849666.1
NW_020849667.1	NW_020849667.1
NW_020849668.1	NW_020849668.1
NW_020849669.1	NW_020849669.1
NW_020849670.1	NW_020849670.1
NW_020849671.1	NW_020849671.1
NW_020849672.1	NW_020849672.1
NW_020849673.1	NW_020849673.1
NW_020849674.1	NW_020849674.1
NW_020849675.1	NW_020849675.1
NW_020849676.1	NW_020849676.1
NW_020849677.1	NW_020849677.1
NW_020849678.1	NW_020849678.1
NW_020849679.1	NW_020849679.1
NW_020849680.1	NW_020849680.1
NW_020849681.1	NW_020849681.1
NW_020849682.1	NW_020849682.1
NW_020849683.1	NW_020849683.1
NW_020849684.1	NW_020849684.1
NW_020849685.1	NW_020849685.1
NW_020849686.1	NW_020849686.1
NW_020849687.1	NW_020849687.1
NW_020849688.1	NW_020849688.1
NW_020849689.1	NW_020849689.1
NW_020849690.1	NW_020849690.1
NW_020849691.1	NW_020849691.1
NW_020849692.1	NW_020849692.1
NW_020849693.1	NW_020849693.1
NW_020849694.1	NW_020849694.1
NW_020849695.1	NW_020849695.1
NW_020849696.1	NW_020849696.1
NW_020849697.1	NW_020849697.1
NW_020849698.1	NW_020849698.1
NW_020849699.1	NW_020849699.1
NW_020849700.1	NW_020849700.1
NW_020849701.1	NW_020849701.1
NW_020849702.1	NW_020849702.1
NW_020849703.1	NW_020849703.1
NW_020849704.1	NW_020849704.1
NW_020849705.1	NW_020849705.1
NW_020849706.1	NW_020849706.1
NW_020849707.1	NW_020849707.1
NW_020849708.1	NW_020849708.1
NW_020849709.1	NW_020849709.1
NW_020849710.1	NW_020849710.1
NW_020849711.1	NW_020849711.1
NW_020849712.1	NW_020849712.1
NW_020849713.1	NW_020849713.1
NW_020849714.1	NW_020849714.1
NW_020849715.1	NW_020849715.1
NW_020849716.1	NW_020849716.1
NW_020849717.1	NW_020849717.1
NW_020849718.1	NW_020849718.1
NW_020849719.1	NW_020849719.1
NW_020849720.1	NW_020849720.1
NW_020849721.1	NW_020849721.1
NW_020849722.1	NW_020849722.1
NW_020849723.1	NW_020849723.1
NW_020849724.1	NW_020849724.1
NW_020849725.1	NW_020849725.1
NW_020849726.1	NW_020849726.1
NW_020849727.1	NW_020849727.1
NW_020849728.1	NW_020849728.1
NW_020849729.1	NW_020849729.1
NW_020849730.1	NW_020849730.1
NW_020849731.1	NW_020849731.1
NW_020849732.1	NW_020849732.1
NW_020849733.1	NW_020849733.1
NW_020849734.1	NW_020849734.1
NW_020849735.1	NW_020849735.1
NW_020849736.1	NW_020849736.1
NW_020849737.1	NW_020849737.1
NW_020849738.1	NW_020849738.1
NW_020849739.1	NW_020849739.1
NW_020849740.1	NW_020849740.1
NW_020849741.1	NW_020849741.1
NW_020849742.1	NW_020849742.1
NW_020849743.1	NW_020849743.1
NW_020849744.1	NW_020849744.1
NW_020849745.1	NW_020849745.1
NW_020849746.1	NW_020849746.1
NW_020849747.1	NW_020849747.1
NW_020849748.1	NW_020849748.1
NW_020849749.1	NW_020849749.1
NW_020849750.1	NW_020849750.1
NW_020849751.1	NW_020849751.1
NW_020849752.1	NW_020849752.1
NW_020849753.1	NW_020849753.1
NW_020849754.1	NW_020849754.1
NW_020849755.1	NW_020849755.1
NW_020849756.1	NW_020849756.1
NW_020849757.1	NW_020849757.1
NW_020849758.1	NW_020849758.1
NW_020849759.1	NW_020849759.1
NW_020849760.1	NW_020849760.1
NW_020849761.1	NW_020849761.1
NW_020849762.1	NW_020849762.1
NW_020849763.1	NW_020849763.1
NW_020849764.1	NW_020849764.1
NW_020849765.1	NW_020849765.1
NW_020849766.1	NW_020849766.1
NW_020849767.1	NW_020849767.1
NW_020849768.1	NW_020849768.1
NW_020849769.1	NW_020849769.1
NW_020849770.1	NW_020849770.1
NW_020849771.1	NW_020849771.1
NW_020849772.1	NW_020849772.1
NW_020849773.1	NW_020849773.1
NW_020849774.1	NW_020849774.1
NW_020849775.1	NW_020849775.1
NW_020849776.1	NW_020849776.1
NW_020849777.1	NW_020849777.1
NW_020849778.1	NW_020849778.1
NW_020849779.1	NW_020849779.1
NW_020849780.1	NW_020849780.1
NW_020849781.1	NW_020849781.1
NW_020849782.1	NW_020849782.1
NW_020849783.1	NW_020849783.1
NW_020849784.1	NW_020849784.1
NW_020849785.1	NW_020849785.1
NW_020849786.1	NW_020849786.1
NW_020849787.1	NW_020849787.1
NW_020849788.1	NW_020849788.1
NW_020849789.1	NW_020849789.1
NW_020849790.1	NW_020849790.1
NW_020849791.1	NW_020849791.1
NW_020849792.1	NW_020849792.1
NW_020849793.1	NW_020849793.1
NW_020849794.1	NW_020849794.1
NW_020849795.1	NW_020849795.1
NW_020849796.1	NW_020849796.1
NW_020849797.1	NW_020849797.1
NW_020849798.1	NW_020849798.1
NW_020849799.1	NW_020849799.1
NW_020849800.1	NW_020849800.1
NW_020849801.1	NW_020849801.1
NW_020849802.1	NW_020849802.1
NW_020849803.1	NW_020849803.1
NW_020849804.1	NW_020849804.1
NW_020849805.1	NW_020849805.1
NW_020849806.1	NW_020849806.1
NW_020849807.1	NW_020849807.1
NW_020849808.1	NW_020849808.1
NW_020849809.1	NW_020849809.1
NW_020849810.1	NW_020849810.1
NW_020849811.1	NW_020849811.1
NW_020849812.1	NW_020849812.1
NW_020849813.1	NW_020849813.1
NW_020849814.1	NW_020849814.1
NW_020849815.1	NW_020849815.1
NW_020849816.1	NW_020849816.1
NW_020849817.1	NW_020849817.1
NW_020849818.1	NW_020849818.1
NW_020849819.1	NW_020849819.1
NW_020849820.1	NW_020849820.1
NW_020849821.1	NW_020849821.1
NW_020849822.1	NW_020849822.1
NW_020849823.1	NW_020849823.1
NW_020849824.1	NW_020849824.1
NW_020849825.1	NW_020849825.1
NW_020849826.1	NW_020849826.1
NW_020849827.1	NW_020849827.1
NW_020849828.1	NW_020849828.1
NW_020849829.1	NW_020849829.1
NW_020849830.1	NW_020849830.1
NW_020849831.1	NW_020849831.1
NW_020849832.1	NW_020849832.1
NW_020849833.1	NW_020849833.1
NW_020849834.1	NW_020849834.1
NW_020849835.1	NW_020849835.1
NW_020849836.1	NW_020849836.1
NW_020849837.1	NW_020849837.1
NW_020849838.1	NW_020849838.1
NW_020849839.1	NW_020849839.1
NW_020849840.1	NW_020849840.1
NW_020849841.1	NW_020849841.1
NW_020849842.1	NW_020849842.1
NW_020849843.1	NW_020849843.1
NW_020849844.1	NW_020849844.1
NW_020849845.1	NW_020849845.1
NW_020849846.1	NW_020849846.1
NW_020849847.1	NW_020849847.1
NW_020849848.1	NW_020849848.1
NW_020849849.1	NW_020849849.1
NW_020849850.1	NW_020849850.1
NW_020849851.1	NW_020849851.1
NW_020849852.1	NW_020849852.1
NW_020849853.1	NW_020849853.1
NW_020849854.1	NW_020849854.1
NW_020849855.1	NW_020849855.1
NW_020849856.1	NW_020849856.1
NW_020849857.1	NW_020849857.1
NW_020849858.1	NW_020849858.1
NW_020849859.1	NW_020849859.1
NW_020849860.1	NW_020849860.1
NW_020849861.1	NW_020849861.1
NW_020849862.1	NW_020849862.1
NW_020849863.1	NW_020849863.1
NW_020849864.1	NW_020849864.1
NW_020849865.1	NW_020849865.1
NW_020849866.1	NW_020849866.1
NW_020849867.1	NW_020849867.1
NW_020849868.1	NW_020849868.1
NW_020849869.1	NW_020849869.1
NW_020849870.1	NW_020849870.1
NW_020849871.1	NW_020849871.1
NW_020849872.1	NW_020849872.1
NW_020849873.1	NW_020849873.1
NW_020849874.1	NW_020849874.1
NW_020849875.1	NW_020849875.1
NW_020849876.1	NW_020849876.1
NW_020849877.1	NW_020849877.1
NW_020849878.1	NW_020849878.1
NW_020849879.1	NW_020849879.1
NW_020849880.1	NW_020849880.1
NW_020849881.1	NW_020849881.1
NW_020849882.1	NW_020849882.1
NW_020849883.1	NW_020849883.1
NW_020849884.1	NW_020849884.1
NW_020849885.1	NW_020849885.1
NW_020849886.1	NW_020849886.1
NW_020849887.1	NW_020849887.1
NW_020849888.1	NW_020849888.1
NW_020849889.1	NW_020849889.1
NW_020849890.1	NW_020849890.1
NW_020849891.1	NW_020849891.1
NW_020849892.1	NW_020849892.1
NW_020849893.1	NW_020849893.1
NW_020849894.1	NW_020849894.1
NW_020849895.1	NW_020849895.1
NW_020849896.1	NW_020849896.1
NW_020849897.1	NW_020849897.1
NW_020849898.1	NW_020849898.1
NW_020849899.1	NW_020849899.1
NW_020849900.1	NW_020849900.1
NW_020849901.1	NW_020849901.1
NW_020849902.1	NW_020849902.1
NW_020849903.1	NW_020849903.1
NW_020849904.1	NW_020849904.1
NW_020849905.1	NW_020849905.1
NW_020849906.1	NW_020849906.1
NW_020849907.1	NW_020849907.1
NW_020849908.1	NW_020849908.1
NW_020849909.1	NW_020849909.1
NW_020849910.1	NW_020849910.1
NW_020849911.1	NW_020849911.1
NW_020849912.1	NW_020849912.1
NW_020849913.1	NW_020849913.1
NW_020849914.1	NW_020849914.1
NW_020849915.1	NW_020849915.1
NW_020849916.1	NW_020849916.1
NW_020849917.1	NW_020849917.1
NW_020849918.1	NW_020849918.1
NW_020849919.1	NW_020849919.1
NW_020849920.1	NW_020849920.1
NW_020849921.1	NW_020849921.1
NW_020849922.1	NW_020849922.1
NW_020849923.1	NW_020849923.1
NW_020849924.1	NW_020849924.1
NW_020849925.1	NW_020849925.1
NW_020849926.1	NW_020849926.1
NW_020849927.1	NW_020849927.1
NW_020849928.1	NW_020849928.1
NW_020849929.1	NW_020849929.1
NW_020849930.1	NW_020849930.1
NW_020849931.1	NW_020849931.1
NW_020849932.1	NW_020849932.1
NW_020849933.1	NW_020849933.1
NW_020849934.1	NW_020849934.1
NW_020849935.1	NW_020849935.1
NW_020849936.1	NW_020849936.1
NW_020849937.1	NW_020849937.1
NW_020849938.1	NW_020849938.1
NW_020849939.1	NW_020849939.1
NW_020849940.1	NW_020849940.1
NW_020849941.1	NW_020849941.1
NW_020849942.1	NW_020849942.1
NW_020849943.1	NW_020849943.1
NW_020849944.1	NW_020849944.1
NW_020849945.1	NW_020849945.1
NW_020849946.1	NW_020849946.1
NW_020849947.1	NW_020849947.1
NW_020849948.1	NW_020849948.1
NW_020849949.1	NW_020849949.1
NW_020849950.1	NW_020849950.1
NW_020849951.1	NW_020849951.1
NW_020849952.1	NW_020849952.1
NW_020849953.1	NW_020849953.1
NW_020849954.1	NW_020849954.1
NW_020849955.1	NW_020849955.1
NW_020849956.1	NW_020849956.1
NW_020849957.1	NW_020849957.1
NW_020849958.1	NW_020849958.1
NW_020849959.1	NW_020849959.1
NW_020849960.1	NW_020849960.1
NW_020849961.1	NW_020849961.1
NW_020849962.1	NW_020849962.1
NW_020849963.1	NW_020849963.1
NW_020849964.1	NW_020849964.1
NW_020849965.1	NW_020849965.1
NW_020849966.1	NW_020849966.1
NW_020849967.1	NW_020849967.1
NW_020849968.1	NW_020849968.1
NW_020849969.1	NW_020849969.1
NW_020849970.1	NW_020849970.1
NW_020849971.1	NW_020849971.1
NW_020849972.1	NW_020849972.1
NW_020849973.1	NW_020849973.1
NW_020849974.1	NW_020849974.1
NW_020849975.1	NW_020849975.1
